id,nume,diacritice,judet,auto,zip,populatie,lat,lng
8600,Pianu de Sus,Pianu de Sus,Alba,AB,517537,1486,459.053.678,234.747.941
8601,Plaiuri,Plaiuri,Alba,AB,517538,41,458.360.817,235.079.343
8602,Purcareti,Purcăreţi,Alba,AB,517539,300,458.353.804,234.707.703
8603,Strungari,Strungari,Alba,AB,517541,223,45.857.525,235.015.693
8604,Poiana Vadului,Poiana Vadului,Alba,AB,517545,176,463.983.543,228.795.192
8605,Costesti (Poiana Vadului),Costeşti (Poiana Vadului),Alba,AB,517546,173,464.215.173,228.566.135
8606,Duduieni,Duduieni,Alba,AB,517547,95,464.049.723,228.315.611
8607,Fagetu de Jos,Făgetu de Jos,Alba,AB,517548,79,464.015.208,229.019.856
8608,Fagetu de Sus,Făgetu de Sus,Alba,AB,517549,168,46.395.773,228.392.343
8609,Hanasesti (Poiana Vadului),Hănăşeşti (Poiana Vadului),Alba,AB,517551,84,463.914,228.534.001
8610,Lupaiesti,Lupăieşti,Alba,AB,517552,27,464.094.499,229.183.539
8611,Morcanesti,Morcăneşti,Alba,AB,517553,34,464.042.835,22.917.361
8612,Pastesti,Păşteşti,Alba,AB,517554,128,463.985.284,228.261.295
8613,Petelei,Petelei,Alba,AB,517556,62,464.191.999,228.300.511
8614,Stanesti,Stăneşti,Alba,AB,517557,113,464.113.434,228.793.946
8615,Ponor,Ponor,Alba,AB,517565,157,463.260.608,233.770.509
8616,Dupa Deal (Ponor),După Deal (Ponor),Alba,AB,517566,355,463.207.659,234.278.942
8617,Geogel,Geogel,Alba,AB,517567,116,463.100.868,233.836.352
8618,Macaresti,Măcăreşti,Alba,AB,517568,33,463.033.478,233.914.053
8619,Vale in Jos,Vale în Jos,Alba,AB,517569,125,463.417.233,23.430.507
8620,Valea Bucurului,Valea Bucurului,Alba,AB,517571,41,463.256.989,233.699.335
8621,Posaga,Poşaga,Alba,AB,517575,,46.466.667,23.383.333
8622,Cortesti,Corţeşti,Alba,AB,517576,10,464.458.096,233.019.806
8623,Incesti (Posaga),Inceşti (Poşaga),Alba,AB,517577,71,464.674.718,23.267.582
8624,Lunca (Posaga),Lunca (Poşaga),Alba,AB,517578,48,464.402.391,23.461.462
8625,Orasti,Orăşti,Alba,AB,517579,,464.494.222,233.367.575
8626,Posaga de Jos,Poşaga de Jos,Alba,AB,517581,372,46.430.627,234.384.706
8627,Posaga de Sus,Poşaga de Sus,Alba,AB,517582,179,464.708.357,233.772.159
8628,Sagagea,Săgagea,Alba,AB,517583,224,464.853.709,233.141.911
8629,Radesti,Rădeşti,Alba,AB,517585,628,462.728.291,237.233.294
8630,Leorint,Leorinţ,Alba,AB,517586,292,462.536.773,237.240.608
8631,Mescreac,Meşcreac,Alba,AB,517587,231,462.421.148,237.378.082
8632,Soimus,Şoimuş,Alba,AB,517588,49,462.272.442,237.867.215
8633,Ramet,Râmeţ,Alba,AB,517590,53,463.150.623,235.300.416
8634,Botani,Boţani,Alba,AB,517591,8,462.852.701,234.355.084
8635,Bradesti,Brădeşti,Alba,AB,517592,37,463.321.357,234.689.159
8636,Cheia,Cheia,Alba,AB,517593,4,463.039.065,234.546.067
8637,Cotorasti,Cotorăşti,Alba,AB,517594,,463.296.129,235.402.929
8638,Floresti (Ramet),Floreşti (Râmeţ),Alba,AB,517596,36,463.369.242,23.495
8639,Olteni,Olteni,Alba,AB,517597,15,46.341.876,235.305.085
8640,Valea Fagetului,Valea Făgetului,Alba,AB,517598,37,463.530.797,235.139.419
8641,Valea Inzelului,Valea Inzelului,Alba,AB,517599,61,46.333.899,235.074.715
8642,Valea Manastirii,Valea Mănăstirii,Alba,AB,517601,166,463.022.901,2.351.891
8643,Valea Poienii (Ramet),Valea Poienii (Râmeţ),Alba,AB,517602,53,463.520.305,234.706.246
8644,Valea Uzei,Valea Uzei,Alba,AB,517603,42,463.164.942,235.132.627
8645,Vladesti,Vlădeşti,Alba,AB,517604,24,463.068.663,2.356.188
8646,Rimetea,Rimetea,Alba,AB,517610,584,464.529.846,23.566.412
8647,Coltesti,Colţeşti,Alba,AB,517611,542,464.223.779,235.612.016
8648,Rosia Montana,Roşia Montană,Alba,AB,517615,618,46.307.025,23.129.894
8649,Balmosesti,Bălmoşeşti,Alba,AB,517616,44,463.104.798,23.104.802
8650,Blidesti,Blideşti,Alba,AB,517617,19,463.015.383,230.889.511
8651,Bunta,Bunta,Alba,AB,517618,6,462.768.172,231.205.022
8652,Carpinis (Rosia Montana),Cărpiniş (Roşia Montană),Alba,AB,517619,390,463.198.567,230.548.082
8653,Coasta Hentii,Coasta Henţii,Alba,AB,517621,105,463.102.697,230.553.341
8654,Corna,Corna,Alba,AB,517622,138,462.853.402,231.219.891
8655,Curaturi,Curături,Alba,AB,517623,169,463.297.803,230.497.351
8656,Daroaia,Dăroaia,Alba,AB,517624,570,463.042.138,230.511.402
8657,Garda-Barbulesti,Gârda-Bărbuleşti,Alba,AB,517626,90,463.254.468,231.175.904
8658,Gura Rosiei,Gura Roşiei,Alba,AB,517627,96,46.307.281,230.619.642
8659,Iacobesti,Iacobeşti,Alba,AB,517628,43,463.078.477,230.696.933
8660,Ignatesti,Ignăţeşti,Alba,AB,517629,78,463.075.311,230.786.028
8661,Soal,Şoal,Alba,AB,517631,73,463.327.198,230.715.729
8662,Tarina,Ţarina,Alba,AB,517632,88,463.173.095,231.261.132
8663,Vartop,Vârtop,Alba,AB,517633,129,463.217.124,230.728.192
8664,Rosia de Secas,Roşia de Secaş,Alba,AB,517640,734,460.567.112,238.866.682
8665,Tau,Tău,Alba,AB,517641,442,460.689.073,238.429.097
8666,Ungurei,Ungurei,Alba,AB,517642,366,460.139.176,238.264.059
8667,Salciua,Sălciua,Alba,AB,517648,,46.4,23.416.667
8668,Dealu Caselor,Dealu Caselor,Alba,AB,517646,70,46.378.661,233.841.574
8669,Dumesti,Dumeşti,Alba,AB,517647,58,463.843.782,234.441.536
8670,Salciua de Jos,Sălciua de Jos,Alba,AB,517648,584,464.000.233,234.275.146
8671,Salciua de Sus,Sălciua de Sus,Alba,AB,517649,475,463.943.202,234.011.297
8672,Sub Piatra,Sub Piatră,Alba,AB,517651,140,463.833.121,234.607.753
8673,Valea Larga,Valea Largă,Alba,AB,517652,101,463.640.949,233.973.389
8674,Salistea,Săliştea,Alba,AB,517655,1202,458.961.864,234.071.412
8675,Margineni,Mărgineni,Alba,AB,517656,63,458.357.175,234.330.922
8676,Salistea-Deal,Săliştea-Deal,Alba,AB,517657,276,459.007.737,234.236.247
8677,Tartaria,Tărtăria,Alba,AB,517658,656,459.342.109,234.112.073
8678,Sasciori,Săsciori,Alba,AB,517660,1287,458.789.306,235.761.176
8679,Capalna,Căpâlna,Alba,AB,517661,842,458.433.901,236.009.971
8680,Dumbrava (Sasciori),Dumbrava (Săsciori),Alba,AB,517662,402,458.834.678,236.056.512
8681,Laz (Sasciori),Laz (Săsciori),Alba,AB,517663,9,458.694.313,235.793.957
8682,Loman,Loman,Alba,AB,517664,578,458.564.459,23.552.639
8683,Plesi,Pleşi,Alba,AB,517666,97,458.177.704,235.747.604
8684,Rachita,Răchita,Alba,AB,517667,959,458.775.647,235.190.131
8685,Sebesel,Sebeşel,Alba,AB,517668,1255,458.884.402,235.641.632
8686,Tonea,Tonea,Alba,AB,517669,232,458.041.063,235.281.959
8687,Sancel,Sâncel,Alba,AB,517670,1418,461.999.248,239.532.485
8688,Iclod,Iclod,Alba,AB,517671,388,462.124.229,239.340.019
8689,Panade,Pănade,Alba,AB,517672,605,462.250.525,239.569.842
8690,Santimbru,Sântimbru,Alba,AB,517675,1273,461.352.442,236.444.284
8691,Coslariu,Coşlariu,Alba,AB,517676,394,461.592.111,236.849.067
8692,Dumitra,Dumitra,Alba,AB,517677,104,460.969.856,236.808.542
8693,Galtiu,Galtiu,Alba,AB,517678,441,461.419.263,236.629.271
8694,Totoi,Totoi,Alba,AB,517679,511,461.154.232,236.542.695
8695,Scarisoara,Scărişoara,Alba,AB,517680,718,464.579.425,228.714.351
8696,Barlesti (Scarisoara),Bârleşti (Scărişoara),Alba,AB,517681,22,464.284.867,228.880.901
8697,Botesti (Scarisoara),Boteşti (Scărişoara),Alba,AB,517682,22,464.526.908,228.858.439
8698,Fata-Lazesti,Faţa-Lăzeşti,Alba,AB,517683,74,464.304.463,228.607.722
8699,Floresti (Scarisoara),Floreşti (Scărişoara),Alba,AB,517684,36,464.517.345,229.038.859
8700,Lazesti (Scarisoara),Lăzeşti (Scărişoara),Alba,AB,517686,28,46.422.606,229.159.648
8701,Lespezea,Lespezea,Alba,AB,517687,71,464.748.849,229.021.957
8702,Matei,Maţei,Alba,AB,517688,38,464.318.256,229.097.556
8703,Negesti,Negeşti,Alba,AB,517689,129,465.102.454,228.561.364
8704,Preluca,Prelucă,Alba,AB,517691,72,465.080.821,229.714.883
8705,Runc (Scarisoara),Runc (Scărişoara),Alba,AB,517692,40,464.899.494,22.860.764
8706,Sfoartea,Sfoartea,Alba,AB,517693,77,465.246,22.846
8707,Stiuleti,Ştiuleţi,Alba,AB,517694,171,464.621.314,22.914.619
8708,Trancesti,Trânceşti,Alba,AB,517696,16,464.753.162,228.580.776
8709,Sohodol,Sohodol,Alba,AB,517700,227,463.249.413,230.040.822
8710,Bazesti,Băzeşti,Alba,AB,517701,27,463.186.761,230.120.306
8711,Bilanesti,Bilăneşti,Alba,AB,517702,113,463.394.782,229.980.911
8712,Bobaresti (Sohodol),Bobăreşti (Sohodol),Alba,AB,517703,73,463.419.061,229.866.347
8713,Bradeana,Brădeana,Alba,AB,517704,162,463.323,229.779
8714,Burzonesti,Burzoneşti,Alba,AB,517706,78,463.658.468,23.010.845
8715,Deoncesti,Deonceşti,Alba,AB,517707,28,462.989.558,22.992.616
8716,Dilimani,Dilimani,Alba,AB,517708,43,463.553.748,230.140.206
8717,Furduiesti (Sohodol),Furduieşti (Sohodol),Alba,AB,517709,13,463.369.929,23.073.767
8718,Gura Sohodol,Gura Sohodol,Alba,AB,517711,181,463.556.266,230.292.161
8719,Hoanca (Sohodol),Hoancă (Sohodol),Alba,AB,517712,5,463.302.761,229.714.515
8720,Joldisesti,Joldişeşti,Alba,AB,517713,,46.323.703,229.398.314
8721,Lazuri (Sohodol),Lazuri (Sohodol),Alba,AB,517714,133,463.641.379,230.248.585
8722,Lehesti,Leheşti,Alba,AB,517716,32,46.306.173,229.809.002
8723,Luminesti,Lumineşti,Alba,AB,517717,82,463.296.519,229.550.017
8724,Medresti,Medreşti,Alba,AB,517718,,462.957,22.953
8725,Moraresti (Sohodol),Morăreşti (Sohodol),Alba,AB,517719,43,463.368,230.235.999
8726,Munesti,Muneşti,Alba,AB,517721,22,462.908.642,230.069.618
8727,Napaiesti,Năpăieşti,Alba,AB,517722,32,463.462.649,230.048.252
8728,Nelegesti,Nelegeşti,Alba,AB,517723,21,463.117.451,230.290.655
8729,Nicoresti,Nicoreşti,Alba,AB,517724,43,463.227,230.127
8730,Peles,Peleş,Alba,AB,517726,51,463.333.545,229.822.688
8731,Poiana (Sohodol),Poiana (Sohodol),Alba,AB,517727,16,462.996,229.721
8732,Robesti,Robeşti,Alba,AB,517728,10,462.932.368,229.853.473
8733,Sebisesti,Sebişeşti,Alba,AB,517729,46,46.353.842,229.921.863
8734,Sicoiesti,Sicoieşti,Alba,AB,517731,34,463.436.395,229.784.514
8735,Surdesti,Surdeşti,Alba,AB,517732,35,46.323,230.029
8736,Simocesti,Şimoceşti,Alba,AB,517733,29,463.100.026,230.000.725
8737,Toci,Ţoci,Alba,AB,517734,,462.935.598,229.793.535
8738,Valea Verde,Valea Verde,Alba,AB,517736,12,463.112,229.498
8739,Vladosesti,Vlădoşeşti,Alba,AB,517737,88,463.456.708,230.284.752
8740,Stremt,Stremţ,Alba,AB,517745,1303,462.265.952,236.368.859
8741,Fata Pietrii,Faţa Pietrii,Alba,AB,517746,63,46.297.136,23.529.516
8742,Geoagiu de Sus,Geoagiu de Sus,Alba,AB,517747,725,462.529.017,235.917.174
8743,Geomal,Geomal,Alba,AB,517748,327,462.606.526,236.228.606
8744,Sibot,Şibot,Alba,AB,517750,1256,459.327.134,233.367.762
8745,Balomiru de Camp,Balomiru de Câmp,Alba,AB,517751,527,459.383.832,2.335.995
8746,Bacainti,Băcăinţi,Alba,AB,517752,266,459.382.567,232.877.248
8747,Saracsau,Sărăcsău,Alba,AB,517753,187,459.439.344,233.079.959
8748,Sona,Şona,Alba,AB,517755,1025,462.172.769,240.147.622
8749,Alecus,Alecuş,Alba,AB,517756,112,462.904.323,23.993.607
8750,Biia,Biia,Alba,AB,517757,1132,462.322.365,240.016.176
8751,Doptau,Doptău,Alba,AB,517758,,462.646,23.927
8752,Lunca Tarnavei,Lunca Târnavei,Alba,AB,517759,407,462.185.089,239.864.441
8753,Sanmiclaus,Sânmiclăuş,Alba,AB,517761,1381,462.475.096,240.525.472
8754,Valea Sasului,Valea Sasului,Alba,AB,517762,10,462.829.631,240.257.521
8755,Spring,Şpring,Alba,AB,517765,737,459.747.295,237.384.372
8756,Carpen,Carpen,Alba,AB,517766,3,459.661.811,237.071.691
8757,Carpenii de Sus,Carpenii de Sus,Alba,AB,517767,,459.661.811,237.071.691
8758,Cunta,Cunţa,Alba,AB,517768,576,459.268.703,237.215.322
8759,Drasov,Draşov,Alba,AB,517769,515,459.380.803,237.420.489
8760,Vingard,Vingard,Alba,AB,517771,589,460.127.951,237.428.318
8761,Sugag,Şugag,Alba,AB,517775,1143,457.776.871,236.206.131
8762,Arti,Arţi,Alba,AB,517776,217,45.748.596,235.990.222
8763,Barsana,Bârsana,Alba,AB,517777,144,457.612.553,235.696.901
8764,Dobra,Dobra,Alba,AB,517778,503,457.632.482,23.652.266
8765,Jidostina,Jidoştina,Alba,AB,517779,61,457.177.567,235.855.341
8766,Martinie,Mărtinie,Alba,AB,517781,542,457.927.974,236.087.944
8767,Tau Bistra,Tău Bistra,Alba,AB,517782,116,456.799.134,235.899.299
8768,Unirea,Unirea,Alba,AB,517785,3414,464.222.271,237.736.605
8769,Ciugudu de Jos,Ciugudu de Jos,Alba,AB,517786,355,46.417.699,237.451.372
8770,Ciugudu de Sus,Ciugudu de Sus,Alba,AB,517787,158,464.260.141,237.014.594
8771,Dumbrava (Unirea),Dumbrava (Unirea),Alba,AB,517788,402,464.364.659,237.724.757
8772,Inoc,Inoc,Alba,AB,517789,193,463.851.923,237.861.204
8773,Mahaceni,Măhăceni,Alba,AB,517791,274,464.465.391,237.411.019
8774,Vadu Motilor,Vadu Moţilor,Alba,AB,517795,192,463.944.349,229.684.366
8775,Bodesti,Bodeşti,Alba,AB,517796,121,464.121.527,229.878.315
8776,Burzesti,Burzeşti,Alba,AB,517797,31,464.017.885,229.471.299
8777,Dealu Frumos (Vadu Motilor),Dealu Frumos (Vadu Moţilor),Alba,AB,517798,192,464.233.159,229.784.481
8778,Lazesti (Vadu Motilor),Lăzeşti (Vadu Moţilor),Alba,AB,517799,28,464.195.319,229.380.067
8779,Necsesti,Necşeşti,Alba,AB,517801,173,463.888,22.99
8780,Poduri-Bricesti,Poduri-Briceşti,Alba,AB,517802,128,464.235.358,229.534.864
8781,Popestii de Jos,Popeştii de Jos,Alba,AB,517803,127,464.025.877,229.627.888
8782,Popestii de Sus,Popeştii de Sus,Alba,AB,517804,124,464.166.588,22.933.639
8783,Tomutesti,Tomuţeşti,Alba,AB,517806,96,464.105.577,229.250.886
8784,Totesti,Toţeşti,Alba,AB,517807,40,464.264.066,229.264.315
8785,Valtori (Vadu Motilor),Vâltori (Vadu Moţilor),Alba,AB,517808,57,464.051.301,229.402.989
8786,Valea Lunga,Valea Lungă,Alba,AB,517815,1719,461.312.116,240.800.315
8787,Faget,Făget,Alba,AB,517816,34,461.518.009,241.661.635
8788,Glogovet,Glogoveţ,Alba,AB,517817,162,461.479.423,240.078.089
8789,Lodroman,Lodroman,Alba,AB,517818,210,461.171.233,240.723.297
8790,Lunca (Valea Lunga),Lunca (Valea Lungă),Alba,AB,517819,48,46.104.514,240.551.854
8791,Tauni,Tăuni,Alba,AB,517821,323,461.510.132,241.301.215
8792,Vidra,Vidra,Alba,AB,517825,43,46.357.466,229.294.699
8793,Bai,Băi,Alba,AB,517826,7,463.354.527,229.141.056
8794,Bobaresti (Vidra),Bobăreşti (Vidra),Alba,AB,517827,73,463.706.171,229.875.968
8795,Bogdanesti (Vidra),Bogdăneşti (Vidra),Alba,AB,517487,35,462.869.638,233.383.904
8796,Bordestii Poieni,Bordeştii Poieni,Alba,AB,517829,103,463.524.097,229.265.326
8797,Culdesti,Culdeşti,Alba,AB,517831,66,463.840.673,22.959.157
8798,Dealu Goiesti,Dealu Goieşti,Alba,AB,517832,78,46.389.062,229.011.007
8799,Dos,Dos,Alba,AB,517833,66,46.368.753,229.553.443
8800,Dosu Luncii,Dosu Luncii,Alba,AB,517834,20,463.621.913,228.981.538
8801,Dosu Vasesti,Dosu Văseşti,Alba,AB,517836,8,463.678.664,22.868.234
8802,Dragoiesti-Lunca,Drăgoieşti-Luncă,Alba,AB,517837,78,463.655.311,229.840.017
8803,Ficaresti,Ficăreşti,Alba,AB,517838,39,463.777.071,229.668.038
8804,Gligoresti,Gligoreşti,Alba,AB,517839,16,463.842,228.451.001
8805,Goiesti,Goieşti,Alba,AB,517841,79,463.763.676,229.193.157
8806,Haiducesti,Haiduceşti,Alba,AB,517842,101,46.394.022,229.270.234
8807,Harasti,Hărăşti,Alba,AB,517843,,463.492.159,228.982.706
8808,Hoanca (Vidra),Hoancă (Vidra),Alba,AB,517844,5,463.425.823,229.177.296
8809,Jeflesti,Jefleşti,Alba,AB,517846,22,463.766.218,228.746.647
8810,Lunca (Vidra),Lunca (Vidra),Alba,AB,517847,48,463.734.607,229.091.342
8811,Lunca Bisericii,Lunca Bisericii,Alba,AB,517848,45,463.679.889,228.871.415
8812,Lunca Goiesti,Lunca Goieşti,Alba,AB,517849,54,463.707.419,229.152.773
8813,Lunca Vesesti,Lunca Veseşti,Alba,AB,517851,81,463.790.034,229.442.378
8814,Lunca de Jos,Lunca de Jos,Alba,AB,517852,39,463.754.417,229.132.233
8815,Modolesti (Vidra),Modoleşti (Vidra),Alba,AB,517846,21,463.777,228.753
8816,Nemesi,Nemeşi,Alba,AB,517854,63,463.629.335,228.751.551
8817,Oidesti,Oideşti,Alba,AB,517856,67,463.780.367,229.308.654
8818,Pitarcesti,Pitărceşti,Alba,AB,517857,18,463.748.579,229.996.568
8819,Plescuta,Pleşcuţa,Alba,AB,517858,87,463.609.039,229.506.195
8820,Poieni (Vidra),Poieni (Vidra),Alba,AB,517829,103,463.524.097,229.265.326
8821,Ponorel,Ponorel,Alba,AB,517861,71,463.677.775,229.719.015
8822,Puiuletesti,Puiuleţeşti,Alba,AB,517862,54,463.711.077,229.964.696
8823,Runc (Vidra),Runc (Vidra),Alba,AB,517863,40,463.791,229.944
8824,Segaj,Segaj,Alba,AB,517864,12,463.729.815,228.619.474
8825,Urdes,Urdeş,Alba,AB,517866,17,463.718.696,229.406.055
8826,Valea Morii,Valea Morii,Alba,AB,517867,112,463.577.543,229.595.339
8827,Vasesti,Văseşti,Alba,AB,517868,29,463.783.973,229.022.134
8828,Valcaneasa,Vâlcăneasa,Alba,AB,517869,38,463.665.008,229.346.082
8829,Valcesti,Vâlceşti,Alba,AB,517871,3,463.785.572,228.714.773
8830,Vartanesti,Vârtăneşti,Alba,AB,517872,56,463.719.442,229.537.048
8831,Vintu de Jos,Vinţu de Jos,Alba,AB,517875,3113,459.920.306,234.864.679
8832,Campu Goblii,Câmpu Goblii,Alba,AB,517876,121,459.983.741,23.448.532
8833,Ciocasu,Ciocaşu,Alba,AB,517877,4,460.380.706,234.728.678
8834,Criseni,Crişeni,Alba,AB,517878,27,460.408.933,234.888.574
8835,Dealu Ferului,Dealu Ferului,Alba,AB,517879,36,460.015.325,234.165.318
8836,Gura Cutului,Gura Cuţului,Alba,AB,517881,26,460.369.869,234.081.675
8837,Hategana,Haţegana,Alba,AB,517882,20,460.297.723,234.473.004
8838,Inuri,Inuri,Alba,AB,517883,45,460.438.925,234.532.782
8839,Laz (Vintu de Jos),Laz (Vinţu de Jos),Alba,AB,517884,9,460.523,234.179
8840,Matacina,Mătăcina,Alba,AB,517886,3,460.350.536,234.200.099
8841,Mereteu,Mereteu,Alba,AB,517887,162,459.976.632,234.344.037
8842,Parau lui Mihai,Pârău lui Mihai,Alba,AB,517888,125,460.121.343,234.836.634
8843,Poienita (Vintu de Jos),Poieniţa (Vinţu de Jos),Alba,AB,517056,23,46.032.245,234.562.099
8844,Stauini,Stăuini,Alba,AB,517891,8,460.329.512,234.921.021
8845,Valea Goblii,Valea Goblii,Alba,AB,517892,92,460.096.606,23.447.227
8846,Valea Vintului,Valea Vinţului,Alba,AB,517893,458,460.184.804,234.471.575
8847,Valea lui Mihai,Valea lui Mihai,Alba,AB,517894,44,460.251.891,234.756.865
8848,Vurpar,Vurpăr,Alba,AB,517896,485,460.004.942,234.677.509
8849,Chilieni,Chilieni,Covasna,CV,520001,818,45.835.985,258.026.034
8850,Coseni,Coşeni,Covasna,CV,520002,537,458.122.858,25.795.738
8851,Baraolt,Baraolt,Covasna,CV,525100,5264,460.753.937,256.050.476
8852,Biborteni,Biborţeni,Covasna,CV,525101,672,460.933.223,256.524.703
8853,Bodos,Bodoş,Covasna,CV,525102,416,46.076.186,256.601.756
8854,Capeni,Căpeni,Covasna,CV,525103,1000,460.421.249,255.791.913
8855,Miclosoara,Micloşoara,Covasna,CV,525104,442,460.088.977,255.825.182
8856,Racosul de Sus,Racoşul de Sus,Covasna,CV,525105,878,460.802.755,25.547.364
8857,Covasna,Covasna,Covasna,CV,525200,9648,458.472.767,261.783.452
8858,Chiurus,Chiuruş,Covasna,CV,525201,466,458.220.859,261.515.609
8859,Intorsura Buzaului,Întorsura Buzăului,Covasna,CV,525300,5528,456.640.966,260.149.491
8860,Bradet,Brădet,Covasna,CV,525301,748,456.546.838,259.887.106
8861,Floroaia,Floroaia,Covasna,CV,525302,1100,456.977.908,260.117.048
8862,Scradoasa,Scrădoasa,Covasna,CV,525303,152,457.203.223,260.075.816
8863,Targu Secuiesc,Târgu Secuiesc,Covasna,CV,525400,16940,460.006.001,261.345.785
8864,Lunga,Lunga,Covasna,CV,525401,1551,460.220.484,262.186.287
8865,Aita Mare,Aita Mare,Covasna,CV,527005,940,459.670.572,255.635.224
8866,Aita Medie,Aita Medie,Covasna,CV,527006,775,459.765.624,256.087.491
8867,Barcani,Barcani,Covasna,CV,527010,2351,457.124.737,260.863.737
8868,Ladauti,Lădăuţi,Covasna,CV,527011,677,457.202.448,2.605.978
8869,Saramas,Sărămaş,Covasna,CV,527012,660,457.046.807,260.405.379
8870,Batani,Băţani,Covasna,CV,527020,,460.900.927,256.977.467
8871,Aita Seaca,Aita Seacă,Covasna,CV,527016,697,460.387.871,256.886.498
8872,Batanii Mici,Băţanii Mici,Covasna,CV,527017,499,461.039.124,256.959.284
8873,Herculian,Herculian,Covasna,CV,527018,1229,461.354.128,257.081.089
8874,Ozunca-Bai,Ozunca-Băi,Covasna,CV,527019,58,460.911.192,257.966.408
8875,Batanii Mari,Băţanii Mari,Covasna,CV,527020,1920,460.900.927,256.977.467
8876,Belin,Belin,Covasna,CV,527030,1370,459.321.445,256.403.801
8877,Belin-Vale,Belin-Vale,Covasna,CV,527031,1489,459.325.269,256.096.533
8878,Bodoc,Bodoc,Covasna,CV,527035,1153,45.978.097,258.295.171
8879,Olteni,Olteni,Covasna,CV,527036,755,45.970.976,258.458.019
8880,Zalan,Zălan,Covasna,CV,527037,645,459.593.921,258.174.491
8881,Borosneu Mare,Boroşneu Mare,Covasna,CV,527040,1547,458.211.089,26.015.429
8882,Borosneu Mic,Boroşneu Mic,Covasna,CV,527041,452,45.784.333,260.127.498
8883,Dobolii de Sus,Dobolii de Sus,Covasna,CV,527042,229,457.819.341,260.355.734
8884,Let,Leţ,Covasna,CV,527043,626,458.547.535,260.180.487
8885,Tufalau,Ţufalău,Covasna,CV,527044,222,458.355.448,260.265.064
8886,Valea Mica,Valea Mică,Covasna,CV,527046,21,457.804.901,25.993.402
8887,Brates,Brateş,Covasna,CV,527050,582,458.342.844,260.706.541
8888,Pachia,Pachia,Covasna,CV,527051,334,458.280.215,261.169.955
8889,Telechia,Telechia,Covasna,CV,527052,615,458.581.878,260.456.134
8890,Bradut,Brăduţ,Covasna,CV,527055,864,461.289.647,256.101.146
8891,Doboseni,Doboşeni,Covasna,CV,527056,2001,461.272.421,255.933.492
8892,Filia,Filia,Covasna,CV,527057,1142,461.421.904,256.187.743
8893,Talisoara,Tălişoara,Covasna,CV,527058,721,461.029.832,255.882.218
8894,Bretcu,Breţcu,Covasna,CV,527060,2467,460.529.902,263.571.364
8895,Martanus,Mărtănuş,Covasna,CV,527061,770,460.198.514,262.896.873
8896,Oituz,Oituz,Covasna,CV,527062,313,460.693.346,263.866.182
8897,Catalina,Catalina,Covasna,CV,527065,1372,459.661.534,261.554.986
8898,Hatuica,Hătuica,Covasna,CV,527066,457,459.402.657,261.260.216
8899,Imeni,Imeni,Covasna,CV,527067,305,459.428.294,261.700.742
8900,Marcusa,Mărcuşa,Covasna,CV,527068,637,459.191.382,260.537.264
8901,Martineni,Mărtineni,Covasna,CV,527069,607,459.221.368,260.960.963
8902,Cernat,Cernat,Covasna,CV,527070,3295,459.570.931,260.311.933
8903,Albis,Albiş,Covasna,CV,527071,404,459.374.993,260.019.487
8904,Icafalau,Icafalău,Covasna,CV,527072,279,460.017.951,260.202.424
8905,Chichis,Chichiş,Covasna,CV,527075,1019,457.707.805,257.997.157
8906,Bacel,Băcel,Covasna,CV,527076,518,457.515.728,258.372.517
8907,Comandau,Comandău,Covasna,CV,527080,1006,457.566.467,262.730.085
8908,Dobarlau,Dobârlău,Covasna,CV,527085,1047,457.377.198,258.839.772
8909,Lunca Marcusului,Lunca Mărcuşului,Covasna,CV,527086,358,457.342.422,258.565.403
8910,Marcus,Mărcuş,Covasna,CV,527087,422,457.201.382,258.599.014
8911,Valea Dobarlaului,Valea Dobârlăului,Covasna,CV,527088,308,457.286.524,259.343.584
8912,Ghelinta,Ghelinţa,Covasna,CV,527090,4600,459.409.896,262.422.934
8913,Harale,Harale,Covasna,CV,527091,215,459.259.335,262.051.396
8914,Ghidfalau,Ghidfalău,Covasna,CV,527095,1164,459.059.002,258.441.677
8915,Anghelus,Angheluş,Covasna,CV,527096,683,458.766.525,258.862.459
8916,Fotos,Fotoş,Covasna,CV,527097,368,458.989.489,258.676.237
8917,Zoltan,Zoltan,Covasna,CV,527098,445,459.225.991,258.512.951
8918,Haghig,Hăghig,Covasna,CV,527100,1793,458.391.349,255.892.157
8919,Iaras,Iarăş,Covasna,CV,527101,522,458.688.704,25.594.702
8920,Ilieni,Ilieni,Covasna,CV,527105,1098,457.953.615,257.713.587
8921,Dobolii de Jos,Dobolii de Jos,Covasna,CV,527106,564,457.817.621,257.542.193
8922,Sancraiu,Sâncraiu,Covasna,CV,527107,374,458.236.895,25.761.623
8923,Lemnia,Lemnia,Covasna,CV,527110,1936,460.524.976,26.260.873
8924,Lutoasa,Lutoasa,Covasna,CV,527111,446,460.908.856,262.295.173
8925,Mereni,Mereni,Covasna,CV,527112,878,460.738.884,262.310.826
8926,Micfalau,Micfalău,Covasna,CV,527115,1805,4.606.186,258.622.702
8927,Bixad,Bixad,Covasna,CV,527116,1799,461.026.791,258.674.939
8928,Malnas,Malnaş,Covasna,CV,527117,514,460.077.474,258.411.026
8929,Malnas-Bai,Malnaş-Băi,Covasna,CV,527118,434,460.335.912,25.823.758
8930,Valea Zalanului,Valea Zălanului,Covasna,CV,527119,139,460.110.673,257.535.776
