id,nume,diacritice,judet,auto,zip,populatie,lat,lng
132,Coteni,Coteni,Giurgiu,GR,87031,6,443.119.184,258.300.744
133,Facau,Făcău,Giurgiu,GR,87032,160,442.929.208,258.300.415
134,Teisori,Teişori,Giurgiu,GR,87033,443,442.962.354,258.061.971
135,Buturugeni,Buturugeni,Giurgiu,GR,87035,1975,443.666.841,258.395.805
136,Padureni,Pădureni,Giurgiu,GR,87036,1652,44.341.725,258.057.417
137,Podu Ilfovatului,Podu Ilfovăţului,Giurgiu,GR,87037,33,443.200.622,258.166.894
138,Posta,Poşta,Giurgiu,GR,87038,419,443.505.316,258.733.092
139,Calugareni,Călugăreni,Giurgiu,GR,87040,1472,441.834.954,259.981.703
140,Branistari,Brăniştari,Giurgiu,GR,87041,945,44.181.493,260.465.077
141,Crucea de Piatra,Crucea de Piatră,Giurgiu,GR,87042,414,441.583.975,260.007.402
142,Hulubesti,Hulubeşti,Giurgiu,GR,87043,1751,441.659.973,259.444.057
143,Uzunu,Uzunu,Giurgiu,GR,87044,1566,441.419.808,259.827.933
144,Clejani,Clejani,Giurgiu,GR,87045,2032,44.315.266,257.222.339
145,Neajlovu,Neajlovu,Giurgiu,GR,87046,,44.313.823,257.536.589
146,Podu Doamnei,Podu Doamnei,Giurgiu,GR,87047,681,443.065.531,257.456.785
147,Sterea,Sterea,Giurgiu,GR,87048,378,443.230.884,257.355.659
148,Colibasi,Colibaşi,Giurgiu,GR,87050,2127,442.214.483,26.188.454
149,Campurelu,Câmpurelu,Giurgiu,GR,87051,1402,442.351.691,26.182.528
150,Comana,Comana,Giurgiu,GR,87055,2113,441.740.653,261.418.766
151,Budeni,Budeni,Giurgiu,GR,87056,864,441.897.846,261.127.255
152,Falastoaca,Falaştoaca,Giurgiu,GR,87057,980,441.945.171,261.833.137
153,Gradistea,Grădiştea,Giurgiu,GR,87058,1515,442.128.366,261.586.287
154,Vlad Tepes,Vlad Ţepeş,Giurgiu,GR,87059,1750,441.351.642,261.308.042
155,Crevedia Mare,Crevedia Mare,Giurgiu,GR,87060,1672,444.303.526,256.263.025
156,Crevedia Mica,Crevedia Mică,Giurgiu,GR,87061,988,444.429.926,256.094.477
157,Dealu,Dealu,Giurgiu,GR,87062,1423,444.005.959,256.479.569
158,Gaiseanca,Găiseanca,Giurgiu,GR,87063,521,444.563.858,255.894.415
159,Priboiu,Priboiu,Giurgiu,GR,87064,154,444.475.725,255.877.597
160,Sfantu Gheorghe (Crevedia Mare),Sfântu Gheorghe (Crevedia Mare),Giurgiu,GR,87066,1672,444.351.294,255.961.161
161,Daia,Daia,Giurgiu,GR,87070,1034,439.872.235,259.918.134
162,Plopsoru,Plopşoru,Giurgiu,GR,87071,1817,44.012.977,259.861.477
163,Floresti-Stoenesti,Floreşti-Stoeneşti,Giurgiu,GR,87075,4290,44.516.667,25.7
164,Floresti,Floreşti,Giurgiu,GR,87076,4290,445.104.178,256.974.445
165,Palanca,Palanca,Giurgiu,GR,87077,2775,444.743.213,257.246.938
166,Stoenesti (Floresti-Stoenesti),Stoeneşti (Floreşti-Stoeneşti),Giurgiu,GR,87078,1805,444.883.705,257.072.261
167,Fratesti,Frăteşti,Giurgiu,GR,87080,2549,439.908.411,259.318.833
168,Cetatea,Cetatea,Giurgiu,GR,87081,792,439.486.148,259.503.313
169,Remus,Remuş,Giurgiu,GR,87082,2020,439.478.662,259.784.171
170,Gaiseni,Găiseni,Giurgiu,GR,87085,2229,445.132.726,256.343.203
